module name,license,repository,modified
browserify@14.5.0,MIT,https://github.com/substack/node-browserify,no
browserify@9.0.8,MIT,https://github.com/substack/node-browserify,no
buffer-shims@1.0.0,MIT,https://github.com/calvinmetcalf/buffer-shims,no
buffer-xor@1.0.3,MIT,https://github.com/crypto-browserify/buffer-xor,no
buffer@3.6.0,MIT,https://github.com/feross/buffer,no
buffer@5.0.8,MIT,https://github.com/feross/buffer,no
bufferstreams@1.0.1,MIT,https://github.com/nfroidure/BufferStreams,no
builtin-modules@1.1.1,MIT,https://github.com/sindresorhus/builtin-modules,no
builtin-status-codes@3.0.0,MIT,https://github.com/bendrucker/builtin-status-codes,no
builtins@0.0.7,MIT,https://github.com/juliangruber/builtins,no
cache-base@1.0.1,MIT,https://github.com/jonschlinkert/cache-base,no
cached-path-relative@1.0.1,MIT,https://github.com/ashaffer/cached-path-relative,no
camelcase-keys@2.1.0,MIT,https://github.com/sindresorhus/camelcase-keys,no
camelcase@1.2.1,MIT,https://github.com/sindresorhus/camelcase,no
camelcase@2.1.1,MIT,https://github.com/sindresorhus/camelcase,no
camelcase@3.0.0,MIT,https://github.com/sindresorhus/camelcase,no
cardinal@1.0.0,MIT,https://github.com/thlorenz/cardinal,no
caseless@0.12.0,Apache-2.0,https://github.com/mikeal/caseless,no
center-align@0.1.3,MIT,https://github.com/jonschlinkert/center-align,no
chai-as-promised@5.3.0,WTFPL,https://github.com/domenic/chai-as-promised,no
chai-jquery@2.0.0,MIT*,https://github.com/chaijs/chai-jquery,no
chai@3.5.0,MIT,https://github.com/chaijs/chai,no
chalk@1.1.3,MIT,https://github.com/chalk/chalk,no
chokidar@1.7.0,MIT,https://github.com/paulmillr/chokidar,no
cipher-base@1.0.4,MIT,https://github.com/crypto-browserify/cipher-base,no
class-utils@0.3.6,MIT,https://github.com/jonschlinkert/class-utils,no
clean-css@3.4.28,MIT,https://github.com/jakubpawlowicz/clean-css,no
cli-table@0.3.1,MIT*,https://github.com/Automattic/cli-table,no
cli-usage@0.1.7,MIT,,no
cliui@2.1.0,ISC,https://github.com/bcoe/cliui,no
cliui@3.2.0,ISC,https://github.com/yargs/cliui,no
clone-buffer@1.0.0,MIT,https://github.com/gulpjs/clone-buffer,no
clone-stats@0.0.1,MIT,https://github.com/hughsk/clone-stats,no
