"module name","licenses","repository","licenseUrl","parents"
"@gulp-sourcemaps/map-sources@1.0.0","MIT","https://github.com/gulp-sourcemaps/map-sources","https://github.com/gulp-sourcemaps/map-sources/raw/master/LICENSE","jquery-ui-form-builder"
"Base64@0.2.1","WTFPL","https://github.com/davidchambers/Base64.js","https://raw.github.com/davidchambers/Base64.js/master/LICENSE","jquery-ui-form-builder"
"JSONStream@0.10.0","MIT*","https://github.com/dominictarr/JSONStream","https://github.com/dominictarr/JSONStream/raw/master/LICENSE.APACHE2","jquery-ui-form-builder"
"JSONStream@1.3.2","(MIT OR Apache-2.0)","https://github.com/dominictarr/JSONStream","https://github.com/dominictarr/JSONStream/raw/master/LICENSE.APACHE2","browser-pack:jquery-ui-form-builder"
"abbrev@1.1.0","ISC","https://github.com/isaacs/abbrev-js","https://github.com/isaacs/abbrev-js/raw/master/LICENSE","fsevents:jquery-ui-form-builder"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js","https://github.com/isaacs/abbrev-js/raw/master/LICENSE","jquery-ui-form-builder"
"acorn@4.0.13","MIT","https://github.com/ternjs/acorn","https://github.com/ternjs/acorn/raw/master/LICENSE","jquery-ui-form-builder"
"acorn@5.3.0","MIT","https://github.com/acornjs/acorn","https://github.com/acornjs/acorn/raw/master/LICENSE","detective:jquery-ui-form-builder"
"ajv@4.11.8","MIT","https://github.com/epoberezkin/ajv","https://github.com/epoberezkin/ajv/raw/master/LICENSE","fsevents:jquery-ui-form-builder"
"ajv@5.5.2","MIT","https://github.com/epoberezkin/ajv","https://github.com/epoberezkin/ajv/raw/master/LICENSE","jquery-ui-form-builder"
"align-text@0.1.4","MIT","https://github.com/jonschlinkert/align-text","https://github.com/jonschlinkert/align-text/raw/master/LICENSE","jquery-ui-form-builder"
"amdefine@1.0.1","BSD-3-Clause OR MIT","https://github.com/jrburke/amdefine","https://github.com/jrburke/amdefine/raw/master/LICENSE","jquery-ui-form-builder"
